Age,Gender,Height_cm,Weight_kg,BMI,Nutrition_Status
12,Male,123,10.1,6.68,Underweight
8,Female,134,16.1,8.97,Underweight
9,Male,139,16.6,8.59,Underweight
5,Male,147,13.8,6.39,Underweight
11,Female,118,12.2,8.76,Underweight
7,Female,109,13.0,10.94,Underweight
4,Female,144,11.1,5.35,Underweight
11,Male,138,10.2,5.36,Underweight
12,Female,141,14.9,7.49,Underweight
7,Male,123,13.4,8.86,Underweight
5,Female,140,12.9,6.58,Underweight
4,Male,134,12.9,7.18,Underweight
5,Male,136,15.9,8.6,Underweight
9,Female,142,13.0,6.45,Underweight
6,Male,137,10.6,5.65,Underweight
3,Female,137,15.7,8.36,Underweight
9,Male,124,12.6,8.19,Underweight
12,Female,116,10.4,7.73,Underweight
3,Female,126,11.7,7.37,Underweight
9,Female,132,10.2,5.85,Underweight
11,Female,107,12.1,10.57,Underweight
12,Male,109,12.7,10.69,Underweight
12,Female,141,16.1,8.1,Underweight
4,Male,99,10.1,10.31,Underweight
9,Female,144,16.6,8.01,Underweight
5,Female,126,14.8,9.32,Underweight
12,Female,146,12.9,6.05,Underweight
7,Male,130,11.0,6.51,Underweight
11,Male,101,11.2,10.98,Underweight
10,Male,137,16.2,8.63,Underweight
8,Female,122,12.1,8.13,Underweight
10,Female,98,11.3,11.77,Underweight
6,Female,132,14.3,8.21,Underweight
11,Male,133,10.3,5.82,Underweight
11,Female,119,10.5,7.41,Underweight
12,Male,95,11.1,12.3,Underweight
3,Female,126,10.3,6.49,Underweight
4,Female,105,12.3,11.16,Underweight
8,Female,125,13.1,8.38,Underweight
9,Female,97,10.7,11.37,Underweight
8,Female,118,12.5,8.98,Underweight
4,Male,145,15.0,7.13,Underweight
7,Male,133,11.9,6.73,Underweight
8,Female,110,10.0,8.26,Underweight
10,Male,111,10.5,8.52,Underweight
12,Male,143,15.5,7.58,Underweight
8,Male,145,13.1,6.23,Underweight
5,Male,146,10.1,4.74,Underweight
11,Female,119,10.9,7.7,Underweight
6,Male,121,13.3,9.08,Underweight
7,Male,136,11.3,6.11,Underweight
8,Female,139,11.6,6.0,Underweight
10,Male,146,16.5,7.74,Underweight
10,Female,136,11.9,6.43,Underweight
12,Female,123,13.6,8.99,Underweight
3,Male,137,11.5,6.13,Underweight
5,Female,143,12.8,6.26,Underweight
9,Male,113,11.1,8.69,Underweight
9,Female,131,14.9,8.68,Underweight
8,Male,102,12.0,11.53,Underweight
10,Female,146,12.1,5.68,Underweight
12,Male,97,10.1,10.73,Underweight
8,Male,96,10.3,11.18,Underweight
3,Male,123,14.2,9.39,Underweight
10,Female,119,13.0,9.18,Underweight
7,Female,112,12.1,9.65,Underweight
12,Male,114,12.3,9.46,Underweight
3,Female,119,10.7,7.56,Underweight
10,Female,143,14.0,6.85,Underweight
9,Female,116,13.1,9.74,Underweight
4,Female,107,10.5,9.17,Underweight
4,Female,125,11.2,7.17,Underweight
11,Male,115,11.4,8.62,Underweight
7,Female,101,11.1,10.88,Underweight
11,Female,103,12.2,11.5,Underweight
3,Female,124,11.1,7.22,Underweight
12,Female,147,12.0,5.55,Underweight
10,Male,143,12.2,5.97,Underweight
4,Male,142,16.0,7.93,Underweight
12,Female,131,11.8,6.88,Underweight
5,Female,142,13.5,6.7,Underweight
10,Female,104,11.8,10.91,Underweight
7,Male,150,13.3,5.91,Underweight
11,Female,147,11.1,5.14,Underweight
3,Male,116,10.2,7.58,Underweight
7,Female,118,12.9,9.26,Underweight
9,Male,147,12.1,5.6,Underweight
11,Female,118,12.6,9.05,Underweight
4,Female,101,10.1,9.9,Underweight
8,Female,131,11.8,6.88,Underweight
11,Female,147,12.2,5.65,Underweight
3,Female,145,10.3,4.9,Underweight
12,Female,141,14.6,7.34,Underweight
7,Male,105,11.5,10.43,Underweight
10,Male,128,12.7,7.75,Underweight
12,Female,118,11.6,8.33,Underweight
11,Male,141,11.3,5.68,Underweight
5,Male,113,10.4,8.14,Underweight
12,Male,135,13.0,7.13,Underweight
8,Male,109,10.0,8.42,Underweight
7,Male,107,12.5,10.92,Underweight
5,Female,135,12.0,6.58,Underweight
12,Female,133,10.4,5.88,Underweight
